OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
ЗАДНЯЯ МЕЖЖЕЛУДОЧКОВАЯ ВЕТВЬ ПРАВОЙ ВЕНЕЧНОЙ,1.71560000,0.00000000,1.87500000,0.00000000,1.86760000,0.00000000,0.00000000,0.00000000,1
ЗАДНЯЯ МОЗГОВАЯ АРТЕРИЯ,1.76700000,1.15700000,1.36400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЗАДНЯЯ СОЕДИНИТЕЛЬНАЯ АРТЕРИЯ,1.73460000,0.00000000,1.78430000,0.00000000,1.72150000,0.00000000,1.78460000,0.00000000,1
ЗАПЯСТНО-ПЯСТНЫЙ СУСТАВ,1.77460000,0.00470000,0.00000000,1.00000000,0.00000000,1.57480000,0.00000000,1.00000000,1
ЗАТЫЛОЧНАЯ  ДОЛЯ,1.84790000,2.18500000,0.00000000,2.28270000,-0.00050000,2.15970000,-0.00000000,2.19340000,1
ЗАТЫЛОЧНАЯ АРТЕРИЯ,1.73240000,1.56970000,1.94390000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
ЗАТЫЛОЧНАЯ ДОЛЯ,1.84600000,0.77150000,1.86500000,0.00000000,1.68750000,0.00000000,1.68750000,0.00000000,2
КАНАЛ  ПРИВРАТНИКА.,1.82700000,1.36300000,1.75200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
КАПИЛЛЯР,1.70500000,1.18700000,1.46400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
КАРДИАЛЬНАЯ  ВЫРЕЗКА  (УГОЛ  ГИСА).,1.74740000,-0.17130000,1.03290000,-0.63260000,1.96530000,-0.17380000,0.10160000,-0.67170000,2
КАРДИАЛЬНАЯ  ЧАСТЬ  ЖЕЛУДКА,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
КАРДИАЛЬНАЯ  ЧАСТЬ.,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
КАРДИАЛЬНАЯ ЧАСТЬ,1.76060000,0.00000000,1.73040000,0.00000000,1.76280000,0.00000000,1.74920000,14.51730000,1
